"rgn_id","sector","year","value"
1,"cf",1997,17196.34
2,"cf",1997,17196.34
6,"cf",1997,17196.34
1,"cf",2007,36673.924
2,"cf",2007,36673.924
6,"cf",2007,36673.924
1,"mar",2004,69378.36676854
2,"mar",2004,69378.36676854
6,"mar",2004,69378.36676854
1,"mar",2005,69908.44097865
2,"mar",2005,69908.44097865
6,"mar",2005,69908.44097865
1,"mar",2006,69908.44097865
2,"mar",2006,69908.44097865
6,"mar",2006,69908.44097865
1,"mmw",1998,15.32
2,"mmw",1998,15.32
6,"mmw",1998,15.32
1,"mmw",2006,57.45
2,"mmw",2006,57.45
6,"mmw",2006,57.45
1,"tour",2005,42681.329861
2,"tour",2005,42681.329861
6,"tour",2005,42681.329861
1,"tour",2006,40794.8622428
2,"tour",2006,40794.8622428
6,"tour",2006,40794.8622428
1,"tour",2007,47179.8295658
2,"tour",2007,47179.8295658
6,"tour",2007,47179.8295658
1,"tour",2008,50245.3394453
2,"tour",2008,50245.3394453
6,"tour",2008,50245.3394453
1,"tour",2009,48812.34962
2,"tour",2009,48812.34962
6,"tour",2009,48812.34962
1,"tour",2010,47034.7166721
2,"tour",2010,47034.7166721
6,"tour",2010,47034.7166721
