"rgn_id","sciname","category"
1,"Chelonia mydas","EN"
2,"Chelonia mydas","EN"
6,"Chelonia mydas","EN"
1,"Dermochelys coriacea","CR"
2,"Dermochelys coriacea","CR"
6,"Dermochelys coriacea","CR"
1,"Rhincodon typus","VU"
2,"Rhincodon typus","VU"
6,"Rhincodon typus","VU"
1,"Lepidochelys olivacea","VU"
2,"Lepidochelys olivacea","VU"
6,"Lepidochelys olivacea","VU"
1,"Cetorhinus maximus","VU"
2,"Cetorhinus maximus","VU"
6,"Cetorhinus maximus","VU"
1,"Galeocerdo cuvier","NT"
2,"Galeocerdo cuvier","NT"
6,"Galeocerdo cuvier","NT"
1,"Alopias vulpinus","VU"
2,"Alopias vulpinus","VU"
6,"Alopias vulpinus","VU"
1,"Eretmochelys imbricata","CR"
2,"Eretmochelys imbricata","CR"
6,"Eretmochelys imbricata","CR"
1,"Balaenoptera musculus","EN"
2,"Balaenoptera musculus","EN"
6,"Balaenoptera musculus","EN"
1,"Prionace glauca","NT"
2,"Prionace glauca","NT"
6,"Prionace glauca","NT"
1,"Isurus oxyrinchus","VU"
2,"Isurus oxyrinchus","VU"
6,"Isurus oxyrinchus","VU"
1,"Balaenoptera acutorostrata","LC"
2,"Balaenoptera acutorostrata","LC"
6,"Balaenoptera acutorostrata","LC"
1,"Megaptera novaeangliae","LC"
2,"Megaptera novaeangliae","LC"
6,"Megaptera novaeangliae","LC"
