"rgn_id","year","popsum"
1,2005,421555.871549339
2,2005,3002944.84906583
6,2005,277723.400312195
1,2006,379203.212862579
2,2006,2693409.67866258
6,2006,231218.320373656
1,2007,385484.632214792
2,2007,2745933.78173095
6,2007,234707.784176371
1,2008,391766.038763672
2,2008,2798457.96119308
6,2008,238197.242522417
1,2009,398047.436888533
2,2009,2850982.09166617
6,2009,241686.698533563
1,2010,457101.508074693
2,2010,3301551.02680153
6,2010,299001.442184439
1,2011,410182.43225524
2,2011,2954254.56978655
6,2011,248354.353686795
1,2012,416036.035924204
2,2012,3005002.92099316
6,2012,251532.553071784
1,2013,421889.611518211
2,2013,3055751.30575352
6,2013,254710.749701327
1,2014,427743.206491662
2,2014,3106499.53965036
6,2014,257888.942954166
1,2015,490239.71863216
2,2015,3590059.10006412
6,2015,318382.465962642
