"rgn_id","year","percent"
1,1980,6.53096236118265
2,1980,6.53096236118265
6,1980,6.53096236118265
1,1981,5.48380041385696
2,1981,5.48380041385696
6,1981,5.48380041385696
1,1982,6.00349222716737
2,1982,6.00349222716737
6,1982,6.00349222716737
1,1983,6.88518626794825
2,1983,6.88518626794825
6,1983,6.88518626794825
1,1984,6.8339019302159
2,1984,6.8339019302159
6,1984,6.8339019302159
1,1985,6.54422862402131
2,1985,6.54422862402131
6,1985,6.54422862402131
1,1986,5.28624430165006
2,1986,5.28624430165006
6,1986,5.28624430165006
1,1987,7.19999980926514
2,1987,7.19999980926514
6,1987,7.19999980926514
1,1988,7
2,1988,7
6,1988,7
1,1989,7.90000009536743
2,1989,7.90000009536743
6,1989,7.90000009536743
1,1990,6.09999990463257
2,1990,6.09999990463257
6,1990,6.09999990463257
1,1991,5.80000019073486
2,1991,5.80000019073486
6,1991,5.80000019073486
1,1992,8.89999961853027
2,1992,8.89999961853027
6,1992,8.89999961853027
1,1993,8.30000019073486
2,1993,8.30000019073486
6,1993,8.30000019073486
1,1994,7.09999990463257
2,1994,7.09999990463257
6,1994,7.09999990463257
1,1995,6.90000009536743
2,1995,6.90000009536743
6,1995,6.90000009536743
1,1996,10.3999996185303
2,1996,10.3999996185303
6,1996,10.3999996185303
1,1997,9.19999980926514
2,1997,9.19999980926514
6,1997,9.19999980926514
1,1998,11.5
2,1998,11.5
6,1998,11.5
1,1999,14
2,1999,14
6,1999,14
1,2000,9
2,2000,9
6,2000,9
1,2001,10.6999998092651
2,2001,10.6999998092651
6,2001,10.6999998092651
1,2002,9.10000038146973
2,2002,9.10000038146973
6,2002,9.10000038146973
1,2003,11.3999996185303
2,2003,11.3999996185303
6,2003,11.3999996185303
1,2004,8.60000038146973
2,2004,8.60000038146973
6,2004,8.60000038146973
1,2005,7.69999980926514
2,2005,7.69999980926514
6,2005,7.69999980926514
1,2006,7.69999980926514
2,2006,7.69999980926514
6,2006,7.69999980926514
1,2007,6.09999990463257
2,2007,6.09999990463257
6,2007,6.09999990463257
1,2008,7.30000019073486
2,2008,7.30000019073486
6,2008,7.30000019073486
1,2009,6.5
2,2009,6.5
6,2009,6.5
1,2010,5
2,2010,5
6,2010,5
1,2011,4.19999980926514
2,2011,4.19999980926514
6,2011,4.19999980926514
1,2012,4.09999990463257
2,2012,4.09999990463257
6,2012,4.09999990463257
