" ","score","status","future","trend","pressures","resilience"
"Index",76.78,,73.85,,,
"Food Provision",54.99,54.92,55.06,0.18,,
". Fisheries",4.15,4,4.3,0,37.07,59.55
". Mariculture",100,100,100,0.34,35.95,48.77
"Artisanal Fishing Opportunity",61.86,59.11,64.62,0,35.08,62.46
"Natural Products",94.13,90.05,98.2,-0.01,33.59,63.63
"Carbon Storage",,74.14,,-1,,65.56
"Coastal Protection",57.25,79.96,34.54,-1,35.42,66.32
"Tourism & Recreation",100,100,100,0,62.16,67.84
"Coastal Livelihoods & Economies",99.47,98.93,100,0.78,,
". Livelihoods",98.93,97.87,100,0.56,39.07,57.42
". Economies",100,100,100,1,37.64,47.69
"Sense of Place",78.29,80,76.57,-0.14,,
". Iconic Species",56.57,60,53.15,-0.27,40.08,60.85
". Lasting Special Places",100,100,100,0,47.18,65.56
"Clean Waters",66.96,68.33,65.58,0.01,82.16,67.84
"Biodiversity",78.1,86.13,70.07,-0.37,,
". Habitats",77.61,89.82,65.41,-0.52,36.25,58.81
". Species",78.59,82.45,74.73,-0.23,40.92,59.58
