" ","score","status","future"
"Index",72.37,,69.52
"Food Provision",29.8,28.14,31.45
". Fisheries",19.53,18.74,20.33
". Mariculture",38.89,36.47,41.3
"Artisanal Fishing Opportunity",61.84,59.11,64.58
"Natural Products",79.71,76.26,83.16
"Carbon Storage",,74.14,
"Coastal Protection",57.19,79.96,34.41
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",99.47,98.93,100
". Livelihoods",98.93,97.87,100
". Economies",100,100,100
"Sense of Place",78.26,80,76.53
". Iconic Species",56.53,60,53.05
". Lasting Special Places",100,100,100
"Clean Waters",66.96,68.33,65.58
"Biodiversity",78.07,86.13,70.01
". Habitats",77.6,89.82,65.38
". Species",78.55,82.45,74.65
